date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,longTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromInvestingActivities,company
2020-12-31,,,1224200000,22600000,939200000,3805100000,5268000000,1250500000,1250500000,-26600000,-23300000,,,,276900000,9938500000,8688000000,4670500000,-26300000,,947300000,939200000,223200000,100300000,5594800000,3174600000,22600000,2797600000,8792000000,66200000,170000000,2911200000,317600000,1327000000,96900000,265900000,457900000,5033200000,242400000,160000000.0,261500000,706800000,6125900000,143200000,1624400000,2170300000,2576400000,597000000,890900000,,0,-109800000,-134100000,-1624500000,455600000,939200000,-204500000,-20400000,1550200000,239000000,-880500000,-609900000,-83600000,-88000000,,,KNEBV.HE
2019-12-31,,,1217500000,20000000,931300000,3754600000,5214400000,1237400000,1237400000,-19100000,-18900000,,,,278900000,9981800000,8744400000,4767400000,-19900000,,938600000,931300000,248200000,100300000,5420400000,3172900000,20000000,2677800000,8613300000,66200000,113500000,2873000000,365000000,1366500000,133400000,319200000,662400000,4628300000,292300000,,318500000,737800000,5802400000,139200000,1558200000,1587700000,2654300000,648600000,809800000,160000000.0,0,-121800000,-134100000,-1134700000,115700000,931300000,26400000,13200000,1269700000,241500000,-851700000,-186400000,-18800000,-98000000,37500000.0,,KNEBV.HE
2018-12-31,,,1087100000,16000000,840800000,3508500000,4717300000,1112000000,1112000000,-22100000,-8500000,,,,241900000,9070700000,7958700000,4353400000,-24900000,,845200000,840800000,260200000,100300000,4653400000,3064600000,16000000,2400700000,7734000000,66000000,124200000,2840000000,334800000,1333400000,58300000,289700000,636000000,4124800000,253700000,,261600000,391500000,5315900000,143300000,1471000000,1404200000,2389500000,624100000,786700000,160100000.0,0,-121100000,-35300000,-709200000,-11200000,840800000,139400000,-100000,969800000,118900000,-849200000,152200000,21300000,-113600000,23100000.0,18700000.0,KNEBV.HE
2017-12-31,,,1250400000,15000000,955800000,3407800000,4703800000,1205500000,1205500000,-23800000,8200000,,,,290200000,8796700000,7591200000,4092900000,44900000,,960200000,955800000,274500000,100300000,4433000000,3013900000,15000000,2288900000,7461900000,65900000,109900000,2862700000,338400000,1325500000,-15000000,281500000,496500000,3899900000,263300000,,202800000,371000000,5075000000,134400000,1413900000,1566000000,2153700000,626800000,705100000,160100000.0,0,-143500000,-33200000,-891700000,-43300000,955800000,-92600000,-21100000,963700000,114300000,-795400000,-88000000,-63100000,-109500000,24900000.0,100000.0,KNEBV.HE
