date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,company
2020-12-31,,,121800000,65100000,88600000,274200000,430900000,133500000,133500000,23200000,-3500000,,,,25700000,1136000000,1002500000,705100000,-11700000,,96100000,88600000,10100000,50200000,446500000,356800000,65100000,86600000,868400000,146400000,4100000,174900000,46600000,85800000,-14700000,20400000,138000000,275800000,16200000,100000,-13000000,264700000,477400000,10000000,260900000,205000000,101000000,128700000,83900000,-3900000,0,-36800000,-68000000,-108000000,42000000,88600000,61900000,-700000,207500000,52100000,400000,-38700000,12900000,-14700000,-1300000,26600000,-30200000,,UPONOR.HE
2019-12-31,,,75600000,58800000,52300000,270500000,382600000,90400000,90400000,21700000,-3400000,,,,20300000,1103100000,1012700000,720500000,-14800000,,55300000,52300000,13100000,50200000,462800000,311600000,58800000,67900000,833200000,146400000,2100000,123100000,36500000,83600000,-8100000,17200000,76100000,222900000,9100000,200000,-6100000,285800000,421900000,11600000,214900000,197800000,171100000,144400000,65500000,-1800000,0,-20800000,-13300000,-50600000,-6700000,52300000,38000000,200000,109200000,52200000,400000,-37200000,2800000,11800000,-100000,-3200000,-26100000,,UPONOR.HE
2018-12-31,,,93500000,56000000,52800000,285000000,400800000,93600000,93600000,22200000,-3400000,,,,30300000,1196300000,1102700000,795500000,-100000,,63200000,52800000,17500000,50200000,433000000,297600000,56000000,60100000,786600000,146400000,3900000,109600000,37100000,83500000,-8600000,20900000,38100000,220300000,9100000,900000,-6400000,258300000,392500000,13900000,196600000,200500000,171900000,147900000,72000000,-8100000,0,-7200000,-81300000,-141400000,13000000,52800000,-68900000,-200000,79900000,39600000,200000,-35800000,-25000000,-16100000,-22400000,15600000,-54000000,-1900000.0,UPONOR.HE
2017-12-31,,,88200000,68200000,60500000,276900000,394100000,94400000,94400000,22800000,-4100000,,,,22800000,1170400000,1076000000,776300000,-6200000,,65400000,60500000,22400000,50200000,517400000,280200000,68200000,62600000,865800000,146400000,2000000,92700000,39400000,93600000,-9100000,20900000,107000000,301400000,10400000,81100000,-8700000,252200000,467000000,9700000,164200000,221900000,172200000,132700000,77000000,-8100000,0,-59500000,82600000,49000000,9500000,60500000,90700000,-300000,101500000,38600000,200000,-33600000,1500000,-18200000,-22400000,9600000,-63400000,-1900000.0,UPONOR.HE
