date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortTermInvestments,goodWill,longTermInvestments,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToOperatingActivities,company
2020-12-31,,,-654300000,,-523200000,28200000,-138900000,-454300000,-454300000,-48400000,-67600000,,,,-131100000,829200000,1283500000,968100000,-200000000,,-523200000,-540600000,13000000,2749900000,896600000,257300000,3646500000,75400000,19900000,-94500000,162600000,915700000,266700000,465300000,595700000,84800000.0,70300000,915700000,2405200000,961600000,883600000,85000000,1111000000,33100000,24800000,,,,439900000,-672000000,351600000,519900000,1001900000,711700000,-523200000,310500000,-200000000,-1043100000,335600000,16000000,-18500000,4600000,112300000,-11200000,-300400000,-325400000,,FIA1S.HE
2019-12-31,,,92900000,,74500000,172100000,603900000,162800000,162800000,-56400000,-78100000,,,,18400000,3097700000,2934900000,2493800000,-69900000,,74500000,61900000,18800000,2911500000,966400000,691900000,3877900000,75400000,69500000,443300000,298100000,447700000,164400000,151900000,1222500000,,43600000,447700000,2445500000,1249200000,947600000,189100000,477300000,36800000,84700000,800800000.0,,,-53400000,46900000,-513200000,-174200000,-225400000,711700000,74500000,-174100000,-500000,564500000,325400000,17200000,-50800000,-2200000,33400000,100000,86500000,-478300000,,FIA1S.HE
2018-12-31,,,127200000,,101600000,159000000,597800000,218300000,218300000,-73700000,-80600000,,,,25600000,2836100000,2617800000,2238300000,-91100000,,101600000,89000000,20400000,3025100000,918500000,744200000,3943600000,75400000,52200000,416800000,171700000,426300000,180000000,180900000,1304900000,,100800000,426300000,2344800000,1398400000,898100000,172700000,514200000,25200000,72600000,892200000.0,1000000.0,3300000.0,-81800000,70600000,-202600000,-231400000,-289200000,711700000,101600000,11800000,-3700000,503600000,294200000,1100000,-54200000,-1800000,-18400000,100000,57400000,-335700000,50000000.0,FIA1S.HE
2017-12-31,,,211100000,,169400000,85800000,593500000,170400000,170400000,208100000,-12900000,,,,41700000,2568400000,2398000000,1974900000,40700000,,169400000,156800000,14200000,1871400000,1015700000,620100000,2887100000,75400000,161900000,428800000,160600000,511500000,126600000,150200000,1124600000,,102000000,511500000,1301100000,1441400000,1000200000,278400000,482900000,17200000,90700000,,1300000.0,2500000.0,90400000,0,-157500000,69300000,40800000,711700000,169400000,265500000,-3700000,382300000,129200000,100000,-28600000,-1800000,-18400000,100000,26900000,-393600000,56800000.0,FIA1S.HE
