date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToOperatingActivities,issuanceOfStock,company
2020-12-31,,,261100000,19700000,246700000,340000000,722800000,114500000,114500000,92600000,-9900000,,,,23200000,1079300000,964800000,356500000,146600000,9200000,237900000,246700000,662700000,1338400000,690200000,19700000,203400000,2048300000,71300000,2300000,432400000,155500000,752700000,186500000,65300000,114600000,702000000,18200000,249600000,190800000,259800000,301500000,6300000,-725200000,138800000,317700000,45800000,68700000,-700000,-39300000,106100000,-59500000,-144400000,246700000,98700000,-2400000,-400000,137400000,124800000,1300000,-81600000,1500000,8600000,-900000,-257300000,-42500000,,,SAA1V.HE
2019-12-31,,,82700000,21500000,11500000,287500000,642800000,102300000,102300000,103200000,-16500000,,,,17900000,925300000,823000000,282500000,-19600000,-51600000,64800000,11500000,425000000,1447000000,529400000,21500000,386200000,1997900000,71300000,622300000,269700000,93300000,505800000,188400000,54700000,16300000,994000000,12600000,57300000,193000000,233900000,772700000,5800000,-401400000,108700000,221300000,25400000,59900000,-600000,-41500000,-212800000,129900000,47300000,11500000,-2600000,-2400000,-100000,163000000,145600000,300000,-73300000,3200000,19900000,-9300000,24300000,-31700000,,,SAA1V.HE
2018-12-31,,,94000000,5000000,124200000,308800000,622000000,106300000,106300000,90300000,-11300000,,,,21500000,904300000,798000000,282300000,-12300000,53000000,72500000,124200000,233900000,907600000,606400000,5000000,217600000,1519000000,71300000,6300000,353000000,66200000,935700000,182100000,51900000,18800000,837100000,9900000,204600000,190500000,36500000,238900000,22100000,-563200000,176900000,2800000,36900000,99600000,900000,-59200000,-13700000,-52600000,-127000000,124200000,-100000,-7700000,-300000,140900000,125100000,15700000,-57100000,3400000,44000000,-9600000,-96600000,-32000000,-11800000.0,,SAA1V.HE
2017-12-31,,,-262500000,1700000,-162700000,460800000,968600000,195200000,195200000,141600000,-17100000,,,,39100000,1437800000,1242600000,469200000,-457700000,2300000,-301600000,-162700000,232600000,1043000000,545400000,1700000,237700000,1590100000,71300000,6800000,284300000,76900000,934600000,189800000,73900000,20600000,769800000,18000000,67200000,191200000,43900000,280300000,24800000,-621800000,212400000,194800000,40500000,108900000,1300000,-21500000,245200000,-371900000,-410700000,-162700000,-24500000,-7700000,-200000,141200000,170900000,200000,-32500000,900000,3600000,-12700000,150000000,-36500000,-11800000.0,6400000.0,SAA1V.HE
