date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,company
2020-12-31,,,-12056000,1262000,-11820000,62000,788000,-7093000,-7093000,4482000,-1409000,,,,-163000,20487000,27580000,19699000,-4963000,,-11893000,-11820000,2741000,219000,36331000,-17948000,1262000.0,6261000,19645000,585000,-92785000,471000,7485000,74033000,1127000.0,1008000,23818000,41000.0,15213000,74033000,1113000,7176000,3000,-28174000,5809000,11897000,1524000,,1221000,85000,967000,1441000,-654000,-11820000,221000,-215000,-1305000,3086000,333000,94000,689000,6517000,-248000,,DIGIGR.HE
2019-12-31,,,-14998000,1262000,-14662000,435000,2430000,-7087000,-7087000,5711000,-1116000,,,,-336000,27401000,34488000,24971000,-7911000,,-14662000,-14662000,4903000,219000,34601000,-8321000,,646000,26280000,585000,-82181000,672000,10934000,73056000,,787000,21078000,,12479000,73056000,3050000,7391000,2000,-24158000,6604000,11439000,2176000,,-1948000,-1045000,6336000,6336000,1000,-14662000,473000,-215000,-4818000,3371000,-1045000,1354000,689000,7066000,-248000,,DIGIGR.HE
2018-12-31,,,-7063000,1262000,-6828000,2030000,2822000,-6440000,-6440000,5644000,-745000,,,,-235000,24737000,31177000,21915000,-623000,,-6828000,-6828000,5209000,219000,25195000,7027000,,1861000,32222000,585000,-67374000,982000,18059000,73597000,73000.0,314000,12549000,,4553000,73597000,553000,8326000,2000,-16241000,8011000,11593000,1861000,1000.0,1285000,-650000,5593000,5974000,1000,-6828000,-1052000,-215000,-6375000,1584000,-1045000,-2628000,-19000,209000,-848000,400000.0,DIGIGR.HE
2017-12-31,,,-7173000,1262000,-6942000,1366000,2207000,-4899000,-4899000,4826000,-1593000,,,,-231000,20000000,24899000,17793000,-3063000,,-6942000,-6942000,5024000,219000,19554000,5473000,,1401000,25027000,585000,-60545000,1051000,12755000,65214000,41000.0,1365000,12080000,,5000000,65214000,401000,6799000,7000,-12306000,5434000,6330000,1630000,,-661000,449000,5872000,6127000,1000,-6942000,944000,-215000,-5632000,797000,-1045000,-2275000,-45000,3332000,-213000,300000.0,DIGIGR.HE
