date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,dividendsPaid,investments,repurchaseOfStock,company
2020-12-31,,,17563000,,13765000,30608000,74970000,19124000,19124000,12682000,-1003000,,,,3798000,123568000,104444000,48598000,-1561000,,13765000,13765000,1077000,62049000,52781000,5733000,114830000,8040000,20000,43802000,1476000.0,939000,1021000,41045000,33577000,860000,1254000,41109000,71607000,16000,51704000,7444000,22452000,8398000,0,-2846000,-10241000,-10241000,4836000,13765000,14912000,-87000,28087000,12189000,65000,-1591000,-1544000,-2846000,,,,,MEKKO.HE
2019-12-31,,,16151000,,13018000,36698000,80472000,17120000,17120000,14111000,-1016000,,,,3133000,125419000,108299000,44947000,-969000,,13018000,13018000,564000,57959000,38925000,5421000,96884000,8040000,25000,30037000,1643000.0,848000,1618000,26133000,30366000,515000,1163000,39357000,55329000,16000,38361000,6133000,22564000,7835000,0,-1569000,-10186000,-24463000,3454000,13018000,2960000,-87000,28992000,12075000,-450000,-117000,544000,-1569000,726000.0,-4865838.0,,,MEKKO.HE
2018-12-31,,,17553000,,13698000,44288000,70962000,11933000,11933000,12240000,-95000,,,,3855000,111879000,99946000,40917000,5620000,,13698000,13698000,342000,17109000,40005000,4540000,57114000,8040000,20000,31827000,414000.0,138000,197000,23174000,16493000,114000,453000,4355000,52204000,16000,39663000,5542000,22828000,6148000,0,9446000,-349000,-4709000,3059000,13698000,16962000,-87000,12225000,1254000,-1194000,-317000,-5522000,-1073000,726000.0,-4045000.0,11000.0,-315000.0,MEKKO.HE
2017-12-31,,,7130000,,5660000,39914000,65217000,8370000,8370000,13625000,-201000,,,,1470000,102324000,93954000,37107000,-1240000,,5660000,5660000,1145000,16444000,30669000,3102000,47113000,8040000,20000,22175000,,454000,65000,6212000,13347000,66000,454000,12107000,33780000,16000,29524000,5861000,21317000,5554000,0,-978000,-2867000,-6103000,-1047000,5660000,2730000,-87000,9810000,2372000,437000,1027000,425000,-981000,726000.0,-3236000.0,3000.0,-315000.0,MEKKO.HE
