date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,653000,,623000,3850000,11263000,538000,538000,6018000,-186000,,,,30000,22963000,22425000,11700000,115000,,623000,623000,515000,12120000,8766000,4000,49000,20886000,80000,197000,256000.0,3567000.0,8489000.0,14000,1696000,6274000,2445000,8489000.0,9827000,6778000,185000.0,4684000,3322000,5590000,1760000,3780000,-30000,0,-8018000,3180000,4417000,414000,1815000,623000,-2451000,1150000,857000,1000,-494000,-134000,-599000,-84000,-11000,-4965000,FODELIA.HE
2019-12-31,,,-578124,,-902263,3029693,10155994,1596379,1596379,4963402,-2151226,,,,324139,20619482,19023103,10463489,-2174504,,-902263,-902263,257841,7451219,6871453,8610,389987,14322670,80000,-375947,87254.0,1213179.0,7167400.0,356488,4147242,4512262,1858356,7167400.0,4599850,7894976,336.0,5400433,2257406,2851703,1368952,1390355,-30000,0,-900636,71148,8632968,394008,10763760,-902263,9947381,2215044,546914,1000,-329566,98486,370848,-1872374,1687462,-1656619,FODELIA.HE
2018-12-31,,,987735,,789501,1391768,4911674,1325997,1325997,2028385,-54616,,,,198234,9360854,8034857,4449180,-338262,,789501,789501,7117,5623828,1187481,12674,60252,6811308,58000,845703,,,283778.0,280822,942875,3497145,1910271,283778.0,2897090,3626279,,1180364,2395567,2126683,287837,1132982,-30000,0,-3725000,3181000,2752000,609000,10763760,789501,276000,1248999,166000,1000,-430000,5000,-638000,1000,317501,-3725000,FODELIA.HE
2017-12-31,,,464083,,370738,1089826,3291557,494033,494033,1488743,-30068,,,,93345,5917322,5423289,2625765,-29950,,370738,370738,26874,1798475,544204,52203,62447,2342678,58000,486204,,,,105475,666518,1553542,609989,,484391,1725938,,517330,766668,244933,292752,492953,-30000,0,-3725000,3181000,2752000,609000,10763760,370738,276000,1248999,166000,1000,-430000,5000,-638000,1000,317501,-3725000,FODELIA.HE
