date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,company
2020-12-31,,,53811000,3165000,40559000,57531000,210750000,56731000,56731000,71784000,-273000,,,,12895000,414884000,358153000,204134000,-2920000,,40916000,40559000,9925000,152219000,264967000,3165000,55185000,420351000,20759000,1000.0,303465000,15580000,25172000,-59257000,7723000,45096000,134336000,1086000,219000,-57455000,199305000,176381000,1845000,229870000,80130000,244000,42278000,54138000,-15000,0,-29833000,-1420000,-23447000,17339000,40559000,11264000,-1299000,-1252000,65796000,24704000,1721000,-20754000,-1274000,-22809000,26000,7277000,-30199000,,OLVAS.HE
2019-12-31,,,53523000,3318000,41760000,55623000,208601000,53169000,53169000,76109000,-363000,,,,11293000,408706000,355537000,200105000,354000,,42230000,41760000,10598000,133528000,260551000,3318000,47695000,397397000,20759000,,282895000,12636000,26360000,-43103000,13793000,33832000,118555000,475000,182000,-42600000,196350000,148444000,1852000,223593000,61822000,332000,43056000,49942000,-15000,0,-29732000,-4077000,-22412000,4956000,41760000,15312000,-726000,144000,67312000,23700000,1878000,-18787000,-2966000,-442000,-1000,304000,-29744000,1179000.0,OLVAS.HE
2018-12-31,,,49176000,3165000,40809000,50844000,193346000,50049000,50049000,71851000,-229000,,,,8039000,384353000,334304000,191007000,-873000,,41137000,40809000,11481000,128268000,234013000,3165000,42759000,365446000,20759000,1000.0,259864000,12850000,26134000,-46610000,16704000,18520000,114251000,558000,3035000,-45654000,179688000,129880000,1559000,196398000,64689000,619000,39882000,49914000,-15000,0,-46578000,-8098000,-26139000,2782000,40809000,-10105000,-1770000,-430000,63042000,20602000,1796000,-16587000,-577000,-796000,316000,222000,-30803000,1179000.0,OLVAS.HE
2017-12-31,,,42336000,1228000,35956000,49079000,181809000,44720000,44720000,67255000,-277000,,,,6212000,345273000,300553000,163464000,-2384000,,36124000,35956000,5340000,121632000,215759000,1228000,40813000,338619000,20759000,,238242000,6471000,15279000,-43242000,8758000,28625000,110510000,379000,7713000,-43014000,180209000,127377000,1656000,195140000,56087000,2779000,34336000,34715000,-345000,0,-20771000,-11491000,-27050000,9303000,35956000,8328000,-1770000,-931000,57080000,19546000,1682000,-15574000,-2131000,-10936000,15000,5342000,-21204000,1179000.0,OLVAS.HE
