date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,changeToNetincome,changeToInventory,otherCashflowsFromFinancingActivities,issuanceOfStock,company
2020-12-31,,,391300000,,312900000,38400000,257800000,221500000,221500000,-3400000,-52900000,,,,78400000,384100000,162600000,126300000,169800000,,312900000,312900000,400000,35800000,3952000000,3309500000,14300000,7261500000,58000000,3700000,3105500000,830200000,110200000,23900000,210500000,289200000,16000000,169100000,110200000,6890500000,227400000,119300000,3309100000,13100000,2765900000,100000,19100000,14700000,3600000,-364200000,373700000,289700000,312900000,73200000,147700000,1300000,1200000,-84000000,-2100000,-168000000,,,,KOJAMO.HE
2019-12-31,,,1031300000,,825200000,38700000,247500000,209600000,209600000,-1900000,-49200000,,,,206100000,375500000,165900000,128000000,821700000,,825200000,825200000,200000,35800000,3499900000,3090500000,24000000,6590400000,58000000,800000,2877000000,689400000,119700000,17800000,137300000,311400000,14400000,194000000,119700000,6291700000,145500000,135200000,3090300000,7300000,2439100000,100000,15700000,41400000,-800000,-206000000,124200000,52400000,825200000,-12800000,140800000,1100000,200000,-71700000,600000,-685600000,300000.0,-100000.0,,KOJAMO.HE
2018-12-31,,,277300000,,221800000,38600000,234100000,195900000,195900000,-1200000,-45300000,,,,55500000,359000000,163100000,124900000,81400000,,221800000,221800000,200000,35800000,3127300000,2358100000,42500000,5485400000,58000000,1800000,2123700000,513700000,140600000,17600000,150100000,177300000,10800000,44000000,140600000,5123700000,168800000,175100000,2357900000,16500000,2436300000,400000,12700000,-123800000,-1600000,-379400000,203900000,299300000,221800000,32300000,112400000,900000,300000,-50300000,-1600000,-107300000,200000.0,-4300000.0,150000000.0,KOJAMO.HE
2017-12-31,,,266600000,,212900000,37200000,216100000,178500000,178500000,-700000,-42900000,,,,53700000,337100000,158600000,121000000,88100000,,212900000,212900000,400000,35800000,2904900000,2038600000,36900000,4943500000,58000000,5000000,1950600000,542200000,-5800000,22700000,117800000,252900000,10900000,120300000,-5800000,4737500000,131400000,51500000,2038200000,8000000,2109800000,600000,20000000,-100000,100000,-258500000,164300000,113900000,212900000,-34200000,110400000,1100000,300000,-50300000,-800000,-103200000,300000.0,-100000.0,150000000.0,KOJAMO.HE
