date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromInvestingActivities,dividendsPaid,company
2020-12-31,,,12300000,20300000,1200000,317300000,525900000,14800000,14800000,129900000,-10300000,,,,7500000,1781000000,1766200000,1255100000,-2500000,,4800000,-800000,76200000,72900000,646800000,308800000,20300000,25200000,975900000,66800000,-100000,-66400000,69100000,71800000,235500000,67700000,46800000,328500000,40900000,16400000,240300000,438200000,288200000,33800000,160800000,116500000,222800000,119000000,117600000,0,-85100000,32700000,30000000,-7900000,1200000,9200000,-2100000,600000,63700000,63900000,-600000,6500000,-83600000,,,,HKSAV.HE
2019-12-31,,,-34600000,17200000,-39900000,310700000,492100000,-2200000,-2200000,116300000,-10700000,,,,3000000,1744400000,1746600000,1252300000,-32400000,,-37600000,-41900000,65800000,72900000,610500000,307900000,17200000,21400000,935600000,66800000,300000,-66200000,67100000,70700000,234400000,66500000,37500000,280700000,43400000,5900000,239200000,419500000,280600000,32500000,171400000,118500000,226200000,115500000,128100000,0,-31600000,-52000000,-18800000,1100000,-39900000,8100000,-6800000,-800000,59200000,67200000,-3700000,30800000,-31800000,43700000.0,,,HKSAV.HE
2018-12-31,,,-58500000,15400000,-53000000,317400000,462900000,-46800000,-46800000,125500000,-10900000,,,,-7200000,1715400000,1762200000,1252500000,-11700000,,-51300000,-53900000,66300000,72900000,651600000,309500000,15400000,17800000,976500000,66800000,100000,-17200000,63400000,71200000,187000000,70800000,29400000,309900000,43300000,41500000,187000000,453500000,281700000,33000000,172000000,123900000,241500000,121400000,136500000,0,-89800000,48300000,82600000,-26400000,-53000000,-21400000,-6800000,100000,-14300000,66800000,-600000,-1700000,-81000000,39800000.0,-11200000.0,-4900000.0,HKSAV.HE
2017-12-31,,,-45500000,14400000,-42500000,336400000,497400000,-18700000,-18700000,124500000,-6600000,,,,-6000000,1808100000,1826800000,1310700000,-26800000,,-39500000,-42500000,64800000,72900000,601700000,336600000,14400000,22200000,952700000,66800000,100000,50100000,58700000,72400000,146800000,65900000,50900000,297900000,33200000,14100000,146800000,428300000,286400000,34900000,199400000,112000000,245100000,111800000,187600000,0,-104000000,115500000,101900000,22800000,-42500000,44200000,-6800000,600000,45700000,55200000,-5000000,10200000,-108700000,39800000.0,-11200000.0,-8600000.0,HKSAV.HE
