date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,changeToOperatingActivities,company
2020-12-31,,,20350000,2423000,15475000,21424000,67082000,24311000,24311000,17018000,-616000,,,,4399000,109115000,84804000,42033000,-3961000,,15951000,15475000,9009000,96766000,66436000,2423000.0,1009000,6495000,165625000,80000,1000.0,23729000,14709000,71018000,42627000,3335000,27321000,22401000,1924000.0,55000,42627000,19590000,62673000,-13591000,14655000,57231000,20696000,8476000,4178000,-20602000,19229000,8914000,15475000,16442000,-1026000,51000,28080000,3985000,-1000,-7104000,-2449000,750000,-2185000,5797000,-2567000,,,HARVIA.HE
2019-12-31,,,12061000,2423000,9597000,15007000,44658000,13435000,13435000,13103000,-582000,,,,2464000,74095000,60660000,29437000,-1374000,,9597000,9597000,2832000,52988000,68837000,,898000,1766000,121825000,80000,,15358000,223000,60200000,53399000,2652000,10879000,12726000,1347000.0,123000,53399000,17123000,39018000,5805000,14273000,37778000,13814000,5149000,1133000,-1773000,-2501000,-10781000,9597000,2611000,-1026000,94000,15072000,2789000,-1000,-6917000,750000,-1898000,-1363000,2377000,-1807000,,,HARVIA.HE
2018-12-31,,,6608000,2423000,6780000,13628000,36089000,9454000,9454000,10849000,-1744000,,,,-172000,61942000,52488000,25853000,-2846000,,6780000,6780000,2873000,51117000,65822000,,1043000,1811000,116939000,80000,1000.0,12677000,575000,60421000,53065000,2674000,8268000,12331000,1358000.0,2155000,53065000,14741000,36230000,2528000,13249000,38211000,14526000,5164000,-2245000,-1603000,-44515000,-7297000,6780000,-77000,-1026000,3000,8820000,1873000,-1000,-3365000,374000,497000,-4417000,1256000,-1617000,45000000.0,,HARVIA.HE
2017-12-31,,,4349000,2423000,2914000,12834000,35135000,9455000,9455000,10925000,-5075000,,,,1435000,60107000,50652000,24972000,-5106000,,2914000,2914000,1610000,94717000,19276000,,540000,2215000,113993000,3000,,9570000,667000,59224000,9703000,1390000,8345000,19404000,,8394000,9703000,14939000,36830000,-41558000,14279000,74646000,14143000,5077000,2115000,-1166000,-3298000,-4882000,2914000,1777000,-1026000,-204000,8029000,1728000,-1000,-3365000,-2349000,-2153000,-1634000,5581000,-1196000,50000.0,-2349000.0,HARVIA.HE
