date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromInvestingActivities,company
2020-12-31,,,-1367000,,-1835000,34707000,41027000,1510000,1510000,2634000,-484000,,,,468000,53272000,51762000,12245000,-2877000,,-1835000,-1835000,2509000,26705000,14007000,3846000,40712000,95000,21000,-5038000,216000,12716000,18950000,315000,6031000,19789000,62000.0,651000,18950000,2959000,22213000,-1218000,13007000,5253000,6000.0,3392000,2861000,194000,-3284000,-3375000,-1835000,2108000,-91000,14000,5275000,2081000,-2000,-102000,2176000,-76000,,,NIXU.HE
2019-12-31,,,-3244000,,-3518000,33046000,41142000,-524000,-524000,6572000,-483000,,,,274000,51168000,51692000,10026000,-2720000,,-3518000,-3518000,2938000,25870000,15385000,2973000,41255000,95000,15000,-3436000,334000,13919000,18726000,254000,3923000,23321000,,7377000,18726000,3927000,20217000,-1472000,15009000,98000,4000.0,3768000,2690000,-7418000,-280000,831000,-3518000,-5363000,-91000,-9000,1233000,1920000,-1000,-2347000,2361000,-324000,1111000.0,,NIXU.HE
2018-12-31,,,-1920000,,-1967000,29138000,35823000,-1078000,-1078000,6938000,-444000,,,,47000,40127000,41205000,4304000,-842000,,-1967000,-1967000,1570000,16507000,16820000,2618000,33327000,95000,164000,-118000,132000,9556000,16843000,4000,9286000,15991000,4000.0,6567000,16843000,1022000,21175000,5694000,11593000,3000,,1135000,142000,-348000,-1663000,-1570000,-1967000,-2578000,-4000,-1000,-659000,697000,-1000,62000,279000,-84000,97000.0,,NIXU.HE
2017-12-31,,,102000,,-172000,23394000,29638000,761000,761000,4869000,-275000,,,,274000,32279000,31518000,2641000,-659000,,-172000,-172000,2315000,17851000,18901000,2378000,36752000,95000,170000,1844000,310000,9764000,16962000,42000,11864000,17312000,41000.0,8111000,16962000,902000,23729000,6822000,11143000,35000,,1879000,1986000,-4186000,4590000,14214000,-172000,9146000,-20000,-29000,-853000,582000,-1000,-3407000,126000,-122000,9644000.0,-1000.0,NIXU.HE
