date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermLiab,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,effectOfExchangeRate,otherCashflowsFromFinancingActivities,company
2020-12-31,1055000,,-4922000,,-4922000,1289000,-1000000,-3276000,-3276000,-68000,-1646000,,,,0,1621000,4897000,2621000,-1646000,,-4922000,-4922000,3720000,19010000,-2525000,226000,16485000,80000,-29535000,283000.0,441000,26930000,673000,435000,6785000,2431000,26930000,9858000,1784000,9000,-6686000,905000,11942000,444000,4128000,,27000,-1527000,4031000,5885000,1854000,-4922000,428000,-3930000,1413000,1382000,3000,-440000,-11000,-1847000,,,VALOE.HE
2019-12-31,1873000,,-5771000,,-5771000,1116000,-819000,-3676000,-3676000,-132000,-1873000,,,,0,328000,4004000,1147000,-2095000,,-5771000,-5771000,83000,18996000,-3284000,1612000,15712000,80000,-24607000,1000.0,441000,21243000,4914000,7000,9362000,2697000,21243000,8996000,1269000,9000,-3808000,380000,8947000,833000,1866000,4242000.0,-136000,-3090000,2060000,5219000,3159000,-5771000,-15000,-2144000,526000,1382000,-56000,17000,2246000,-3090000,,,VALOE.HE
2018-12-31,1322000,,-4210000,,-4210000,1379000,-329000,-2468000,-2468000,-562000,-1567000,,,,0,1328000,3796000,1657000,-1742000,,-4210000,-4210000,107000,18495000,-7044000,506000,11451000,80000,-18927000,,441000,11803000,5856000,22000,7500000,2779000,11803000,3755000,1283000,9000,-7592000,559000,10995000,659000,1556000,5183000.0,59000,-2613000,4417000,4476000,59000,-4210000,-328000,-2190000,82000,1382000,-78000,-53000,860000,-2613000,-1000.0,,VALOE.HE
2017-12-31,1536000,,-5794000,,-5794000,1284000,-650000,-3077000,-3077000,-393000,-2502000,,,,0,554000,3631000,1204000,-2717000,,-5794000,-5794000,150000,14173000,-4544000,602000,9629000,80000,-15166000,1000.0,441000,10542000,6833000,350000,6298000,2004000,10542000,8000,2188000,9000,-5135000,1249000,7874000,582000,1285000,6832000.0,-611000,-357000,3069000,3869000,800000,-5794000,347000,-3160000,49000,1382000,-162000,-412000,2486000,-357000,-5000.0,650000.0,VALOE.HE
