date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToOperatingActivities,company
2020-12-31,,,181000000,13200000,131300000,,411400000,214600000,214600000,-600000,-29200000,,,,43000000,2429300000,2214700000,2017900000,-33600000,,138000000,131300000,74500000,257900000,1590400000,1192100000,13200000,159600000,2795700000,221800000,100000.0,537100000,192000000,504100000,175300000,182900000,159500000,674300000,27500000,191600000,1031600000,777700000,224900000,613500000,330400000,629700000,242300000,180200000,,-2600000,-8500000,-201400000,-59100000,-150900000,131300000,16400000,-6000000,374700000,197400000,-100000,-85700000,2200000,3400000,-6100000,48900000,-195600000,,KEMIRA.HE
2019-12-31,,,154700000,13300000,110200000,,378400000,193600000,193600000,-1200000,-37300000,,,,38200000,2661400000,2467800000,2283000000,-38900000,,116500000,110200000,92300000,257900000,1660000000,1217700000,13300000,184400000,2891000000,221800000,,490900000,198500000,515800000,247100000,228400000,143100000,723600000,35700000,265200000,1003600000,800900000,250000000,609600000,360400000,632200000,260600000,188200000,55000000.0,-3000000,5500000,-196300000,-106400000,-193200000,110200000,-1900000,1500000,386200000,186000000,-100000,-80900000,19400000,20500000,-5900000,44600000,-201100000,,KEMIRA.HE
2018-12-31,,,123300000,12900000,89100000,,303500000,159400000,159400000,-5200000,-28500000,,,,28100000,2596000000,2436600000,2292500000,-36100000,,95200000,89100000,123000000,257900000,1561300000,1189600000,12900000,172000000,2763800000,221800000,,469600000,211100000,512500000,240300000,197500000,144900000,703900000,28200000,259400000,836400000,863000000,231400000,554100000,369700000,646200000,283800000,179900000,110500000.0,4500000,5100000,-181300000,37300000,-50100000,89100000,-21200000,-100000,210200000,149300000,-100000,-80800000,-64700000,8500000,-6600000,22900000,-150400000,-51100000.0,KEMIRA.HE
2017-12-31,,,112600000,13800000,78600000,51100000,331400000,140600000,140600000,-1300000,-26400000,,,,27400000,2489700000,2349100000,2158300000,-28000000,,85200000,78600000,90000000,257900000,1502100000,1159000000,13800000,147500000,2674900000,221800000,600000.0,452100000,193300000,505000000,227200000,172800000,166100000,639700000,24800000,247300000,833500000,833300000,240300000,564000000,388700000,669000000,223800000,187200000,71000000.0,-3400000,37800000,-192200000,74200000,-12700000,78600000,-7200000,-7500000,205100000,141000000,-100000,-80700000,-24500000,-47200000,-6200000,19400000,-186400000,-51100000.0,KEMIRA.HE
