date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,inventory,accountsPayable,otherCurrentAssets,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,issuanceOfStock,otherCashflowsFromInvestingActivities,changeToInventory,otherCashflowsFromFinancingActivities,company
2020-12-31,,,3837355,990651,2593306,35995024,49270343,4676593,4676593,7994732,-40375,,,,947229,57869445,53192852,8599102,-839238,,2890126,2593306,13714513,19707330,990651,102474,8049669,34412496,82500,2034322,8693.0,6030713,17590508,102474,16778195,13705820,17590508,1420742,26816527,42040.0,13676617,8678809,1359523,1687151,,-130900,0,-1303000,-1442600,232800,2593306,3654200,-535400,6399699,524600,-907200,1502400,1467598,-587400,,,,,,VIAFIN.HE
2019-12-31,,,1107243,795033,634338,26873518,35704757,2564401,2564401,5836823,-749515,,,,354485,42000322,39435921,6295565,-1457158,,752758,634338,13201714,18556585,795033,181482,5978779,32553331,82500,883577,14168.0,6254412,17590508,181482,13123987,13187546,17590508,1358353,24747524,11560.0,12302173,10173117,1450420,4280767,,422329,0,-826588,7064044,2379952,634338,8842866,-535400,2605410,338682,-907200,-1736823,898204,-468635,5224.0,7058820.0,71.0,,,VIAFIN.HE
2019-07-31,,,264000,716000,-23000,19692000,27594000,1304000,1304000,5515000,-1050000,,,,189000,32761000,31457000,5167000,-1040000,,75000,-23000,11027000,17634000,716000,215000,3239000,29377000,83000,-38000,19000.0,6573000,17589000,215000,11196000,11008000,17589000,1202000,21369000,18000.0,11061000,8858000,1315000,2809000,,582000,0,-841000,10000000,1756000,-23000,10600000,-535400,1441000,1083000,-907200,-1205000,-121000,-317000,5224.0,10000000.0,-1000.0,-49000.0,,VIAFIN.HE
2018-07-31,,,-13906,113874,-13906,19692000,0,-13906,-13906,13906,-1050000,,,,0,0,13906,0,0,,-13906,-13906,7056935,7276483,113874,143888,3776714,14447289,2500,-15065,,5908415,7289048,143888,596537,7056935,7289048,667017,7727969,,1368068,6516063,615369,1947821,667854.0,582000,0,456554,94615,16615,-13906,550615,-535400,-553,1083000,-907200,-3231,-31,-317000,5224.0,2308.0,-1000.0,-49000.0,92308.0,VIAFIN.HE
