date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,dividendsPaid,repurchaseOfStock,company
2020-12-31,,,54793000,,42621000,117583000,156209000,0,14350000,24276000,,,,,12172000,156209000,141859000,0,40443000,,42621000,42621000,57932000,9905938000,666830000,14975000,10572768000,169732000,373276000,360732000,1619766000,136366000,7044491000,28274000,5435709000,2450000,200433000,138023000,27937000,3028520000,413888000,608898000,60181000,2828074000,5164416000,0,-5601000,-57296000,449607000,-479322000,917000,42621000,-9469000,-453475000,18276000,6852000,505986000,-5967000,-10955000,,,,AKTIA.HE
2019-12-31,,,74756000,,61825000,117950000,138993000,0,-1407000,22450000,,,,,12931000,138993000,140400000,0,76163000,,61825000,61825000,62813000,9087102000,609996000,15987000,9697098000,163000000,385349000,318663000,1473485000,128333000,6477094000,16656000,5427270000,2862000,694952000,128333000,13938000,2806656000,336597000,547183000,57093000,2178177000,4657453000,0,4761000,7544000,54979000,-194749000,745000,61825000,21693000,-38048000,19481000,100000,88765000,-4222000,-7764000,9574000.0,-42075000.0,,AKTIA.HE
2018-12-31,,,67588000,,56005000,114930000,177464000,0,36232000,26302000,,,,,11583000,177464000,141232000,0,31356000,,56005000,56005000,66656000,8676887000,589939000,115720000,9266826000,163000000,346745000,297683000,1218770000,129256000,6153741000,22148000,5383745000,2323000,639365000,129256000,3217000,1394213000,1648999000,523283000,52680000,2074372000,4565120000,0,10552000,-27381000,-310441000,-116697000,1195000,56005000,-13934000,285956000,12381000,1000,-246422000,5051000,-6326000,-175000.0,-37833000.0,,AKTIA.HE
2017-12-31,,,49118000,,39340000,124714000,178753000,0,28698000,25341000,,,,,9778000,178753000,150055000,0,20420000,,39340000,39340000,71139000,8951978000,598022000,15140000,9550000000,163000000,316585000,271984000,1292189000,163038000,5919048000,42394000,5695328000,4187000,781532000,164741000,4812000,1261843000,2293158000,526883000,16243000,1964461000,4812963000,0,-10587000,-8395000,104422000,-97065000,1300000,39340000,-76662000,-170498000,6465000,-1000,153128000,-3677000,-14604000,-175000.0,-34586933.0,-1703000.0,AKTIA.HE
