date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,intangibleAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,netBorrowings,company
2020-12-31,,,-418000,,-423000,1998000,5656000,767000,767000,2731000,-951000,,,,5000,18194000,17427000,12538000,-1185000,,-423000,-423000,4968000,18658000,40000.0,1487000,23626000,80000,219000,1000.0,8959000,18359000,714000,8704000,4886000,179000,27000.0,18359000,288000,13665000,9699000,4961000,81000,675000,,0,-611000,6577000,200000,8071000,-423000,7128000,-1000,1162000,450000,-1000,-577000,132000,-916000,801000,-119000,,BILOT.HE
2019-12-31,,,1448000,,1159000,1998000,6870000,1674000,1674000,3064000,-189000,,,,289000,18461000,16787000,11591000,-226000,,1159000,1159000,3686000,3196000,3000.0,1026000,6882000,18000,1266000,,684000,1912000,653000,1576000,3578000,90000,,1912000,324000,5221000,2512000,3645000,108000,337000,,0,-451000,-1108000,265000,97000,1159000,223000,-155000,1783000,186000,-1000,-1009000,270000,-916000,-104000,-451000,-41000.0,BILOT.HE
2018-12-31,,,1347000,,1090000,1576000,5948000,1396000,1396000,2823000,-59000,,,,257000,16593000,15197000,10645000,-49000,,1090000,1090000,3482000,3185000,,1087000,6667000,18000,1273000,,559000,1894000,694000,1353000,3374000,48000,,1894000,184000,5219000,2615000,3866000,108000,403000,11000.0,0,-29000,-468000,352000,409000,1090000,579000,-36000,1075000,121000,-1000,-812000,-372000,-916000,-182000,-131000,-29000.0,BILOT.HE
