date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortTermInvestments,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,repurchaseOfStock,dividendsPaid,otherCashflowsFromFinancingActivities,company
2020-12-31,41891000,,16456000,,12875000,112745000,172208000,19738000,19738000,-2166000,-860000,,,,3581000,220204000,200466000,47996000,-3282000,,12875000,12875000,26517000,165000,155473000,82330000,72207000,237803000,1551000,-1000.0,79554000,26631000,81944000,1060000,12032000,51380000,104913000,3954000,11000000.0,2348000,14064000,103246000,-26131000,51732000,19001000.0,74000,4182000,,6000,0,-11575000,-8251000,-8251000,4569000,12875000,25952000,-902000,46680000,10768000,1000,33000,6164000,7279000,-8139000,,,,FSC1V.HE
2019-12-31,39568000,,4247000,,3365000,123205000,166789000,5621000,5621000,-1605000,-976000,,,,882000,217338000,211717000,50549000,-1374000,,3365000,3365000,30940000,165000,153208000,76158000,67237000,229366000,1551000,1000.0,67166000,24994000,88398000,7276000,9224000,25427000,98763000,3072000,11877000.0,9417000,15594000,85210000,-43180000,52218000,19122000.0,107000,4124000,,-8000,0,-8519000,-12457000,-12457000,-5353000,3365000,-2378000,107000,18490000,11789000,1000,288000,-1531000,4038000,-8634000,,,,FSC1V.HE
2018-12-31,35741000,,1727000,,844000,109757000,151380000,8099000,8099000,-2217000,-353000,,,,883000,190731000,182632000,39351000,-6372000,,844000,844000,36236000,165000,161761000,66279000,62738000,228040000,1551000,,63092000,39013000,90677000,1471000,6591000,27806000,91748000,3961000,6058000.0,4243000,5175000,89361000,-60634000,60890000,31000000.0,607000,6480000,,53470000,0,-45602000,36489000,30108000,-2827000,844000,-8494000,226000,6774000,4217000,1000,-19000,692000,-1051000,-7454000,-99000.0,-6281000.0,-1000.0,FSC1V.HE
2017-12-31,34091000,,12379000,,11063000,100618000,144763000,11949000,11949000,-1895000,-72000,,,,1316000,169754000,157805000,24991000,430000,,11063000,11063000,12631000,165000,104587000,70582000,57274000,175169000,1551000,1000.0,67630000,22452000,10070000,1236000,6947000,36300000,82135000,4177000,,5811000,3212000,142309000,47881000,45601000,,588000,6220000,53924000.0,10668000,0,1402000,36489000,-18751000,13418000,11063000,7250000,-1437000,26036000,3062000,-1000,-457000,-3153000,-1131000,-7106000,-99000.0,-9375500.0,-1000.0,FSC1V.HE
