date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,company
2019-12-31,,,1479000,1022000,985000,9487000,20048000,2215000,2215000,6386000,-367000,,,,507000,39470000,37255000,19422000,-736000,,972000,985000,166000,4239000,23644000,25446000,1022000,3098000,50112000,3152000,17887000,381000,168000,3910000,6279000,11234000,409000,6598000,168000,13598000,32018000,420000,25280000,9102000,11621000,16637000,1323000,,-1193000,-2603000,-1268000,-2553000,985000,-861000,400000,3896000,1960000,-1285000,92000,1563000,489000,-2799000,,ELEAV.HE
2018-12-31,,,3372000,1084000,2510000,9088000,21365000,3566000,3566000,6706000,-434000,,,,798000,42209000,38643000,20844000,-194000,,2574000,2510000,211000,4239000,25455000,24118000,1084000,3415000,50657000,3152000,16680000,442000,47000,2448000,7140000,13423000,399000,7812000,47000,13041000,34537000,420000,23907000,10958000,11373000,16438000,2045000,1000.0,1394000,-2180000,610000,-688000,2510000,-377000,-442000,2933000,2005000,-1198000,245000,-3075000,-146000,-2185000,-100000.0,ELEAV.HE
2017-12-31,,,3285000,1121000,2463000,9287000,19637000,3575000,3575000,4795000,-438000,,,,649000,39684000,36109000,20047000,-290000,,2636000,2463000,471000,4239000,23709000,24454000,1121000,2769000,49284000,3152000,16902000,551000,161000,1274000,7518000,10943000,472000,6386000,161000,13391000,33728000,420000,23983000,9250000,11923000,16961000,1446000,-1000.0,-2520000,-2528000,861000,-349000,2463000,1000000,-77000,3954000,1980000,-1210000,-45000,2387000,-311000,-2618000,-100000.0,ELEAV.HE
2016-12-31,,,4023000,999000,3155000,9818000,23011000,4525000,4525000,6688000,-453000,,,,866000,44119000,39594000,21108000,-502000,,3157000,3155000,674000,4239000,25032000,24297000,999000,3997000,50328000,3152000,16398000,608000,508000,2171000,6517000,11242000,343000,4514000,508000,11835000,35228000,420000,23623000,11585000,12722000,17126000,2382000,,-895000,-2155000,-306000,-1482000,3155000,617000,453000,3801000,1980000,-1123000,-1213000,781000,-7000,-2205000,-53000.0,ELEAV.HE
