date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,goodWill,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,capitalExpenditures,company
2020-12-31,,,103546,,21802,,3488081,202020,202020,2059181,-108527,,,,81744,8751849,8549829,5263768,-98474,,21802,21802,4367114,161638,3819887,1970196,582761,5790083,80000,-2697501,4426059,644191,2352793,485976,4426059,20877,1385404,16688.0,-2396918,739213,1467094,2000,504531,,-16688,0,-1018508,-335858,-193095,203936,142765,21802,503050,1714651,34666,13000,249037,-2,-1001820,HEEROS.HE
2019-12-31,,,-293682,,-293682,,3603047,-190446,-190446,2689910,-108443,,,,0,8605344,8795790,5002297,-103236,,-293682,-293682,4557506,161638,3951808,1805632,453320,5757439,80000,-2719300,4283294,141141,2101946,439066,4283294,28878,1144389,,-2778540,988248,1849862,15000,548758,26666.0,-16688,0,-1249242,251177,360177,-518239,109000,-293682,-501007,388058,1103583,9500,86897,-2,-1249242,HEEROS.HE
2018-12-31,,,-506701,,-506701,,3124846,-311179,-311179,2410498,-200035,,,,0,8000406,8311585,4875560,-195522,,-506701,-506701,4361508,161638,4218871,1990316,816356,6209185,80000,-2425616,4174294,642148,2543196,362076,4174294,39217,1741794,,-2437858,1075146,1675675,24500,562778,66666.0,-16688,0,-1419833,1196362,1198225,-178994,109000,-506701,254011,475618,1025527,-14500,150289,1863,-1419833,HEEROS.HE
2017-12-31,,,-870868,,-868537,,2787117,-767448,-767448,2592675,-112114,,,,-2331,7260079,8027527,4472962,-103420,,-868537,-868537,3923153,161638,3201500,2497326,809268,5698828,80000,-1918606,4174294,388137,2614981,254869,4174294,43267,1625742,,-1532493,1227605,586519,10000,762970,106666.0,-16688,0,-1565590,-419806,-412057,263073,109000,-868537,-1875430,102216,53927,1700,-255908,7749,-1565590,HEEROS.HE
