date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,14400000,,11300000,194800000,362200000,21000000,21000000,105400000,-4400000,,,,3100000,1800900000,1779900000,1438700000,-6600000,,11300000,11300000,69800000,996000000,169600000,4400000,1165600000,36200000,73900000,33300000,278700000,59500000,12900000,168200000,834500000,4400000,52100000,59500000,153700000,628300000,22200000,-178900000,208200000,66300000,250100000,620300000,,-4800000,0,-31400000,86700000,70400000,3600000,11300000,97400000,-100000,100000,58300000,41200000,200000,-16300000,-8600000,9100000,100000,1700000,-27100000,OKDAV.HE
2019-12-31,,,10100000,,8000000,198900000,357100000,21100000,21100000,95300000,-3600000,,,,2100000,1721600000,1700500000,1364500000,-11000000,,8000000,8000000,66900000,873400000,157200000,6100000,1030600000,36200000,79100000,31900000,270500000,41900000,7100000,70800000,717700000,4500000,200000,41900000,156000000,520700000,9400000,-180200000,213400000,58100000,234200000,606700000,400000.0,-700000,0,-21800000,-41200000,-57600000,68700000,8000000,5000000,-100000,100000,84400000,41800000,-21800000,-16300000,-27200000,-15100000,100000,8200000,-21200000,OKDAV.HE
2018-12-31,,,16600000,,10800000,194800000,346200000,23600000,23600000,103700000,-1700000,,,,5800000,1552200000,1528600000,1206000000,-7000000,,10800000,10800000,65800000,746300000,177900000,5800000,924200000,36200000,95700000,30100000,274300000,46000000,34300000,65800000,656700000,3700000,500000,46000000,56200000,484200000,9400000,-162200000,197700000,59100000,209600000,536500000,,-18600000,0,-41500000,4000000,-12300000,31500000,10800000,48800000,-100000,-100000,102800000,24100000,-21800000,-16300000,-9800000,37900000,100000,8300000,-20800000,OKDAV.HE
2017-12-31,,,33900000,,26300000,195500000,353600000,38800000,38800000,93600000,-2600000,,,,7900000,1527800000,1489000000,1174200000,-4900000,300000,26000000,26300000,56900000,724700000,197700000,3400000,922400000,36200000,106200000,30500000,282700000,55300000,43000000,17000000,632600000,2400000,400000,55300000,63000000,476300000,500000,-141900000,242100000,60900000,207800000,525500000,-100000.0,-1600000,0,-37700000,-3800000,-29700000,45700000,26300000,-43800000,-600000,-100000,23700000,25700000,6100000,-25400000,-21100000,-42800000,100000,-10100000,-40200000,OKDAV.HE
