date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,shortTermInvestments,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,company
2020-12-31,16500000,,89700000,3800000,67600000,331900000,452100000,104100000,104100000,-400000,-5300000,,,,21300000,1116200000,1012100000,664100000,-14400000,,68400000,67600000,268200000,580400000,757800000,3800000,108800000,1342000000,77500000,-100000.0,693600000,52500000,213700000,-13300000,31300000,62500000,404900000,27400000,60300000,-6100000,283500000,512800000,32500000,275900000,219800000,51200000,207400000,100200000,,-600000,0,-29400000,-68600000,-116500000,30200000,67600000,53100000,-300000,-200000,199200000,53400000,-45700000,15900000,-1900000,20800000,-30000000,,FSKRS.HE
2019-12-31,18400000,,63200000,3600000,51700000,370500000,447300000,59700000,59700000,-1300000,-4200000,,,,10800000,1090400000,1030700000,643100000,3500000,,52400000,51700000,288700000,599800000,760900000,3600000,85100000,1364300000,77500000,,672500000,54500000,219600000,10900000,31500000,9400000,405500000,27900000,100300000,18000000,314200000,473500000,36800000,252600000,213400000,51400000,232100000,96300000,,-5800000,0,-37000000,-23000000,-74500000,10100000,51700000,-15100000,-1100000,-200000,96500000,50200000,-51000000,-6600000,600000,-18300000,-40000000,7900000.0,FSKRS.HE
2018-12-31,18400000,,102900000,2700000,81600000,371500000,485000000,97500000,97500000,-2400000,-3600000,,,,21100000,1118500000,1021000000,633500000,5400000,,81800000,81600000,280500000,509500000,1207000000,2700000,104500000,1719200000,77500000,500000.0,1223600000,68500000,217400000,-94100000,34100000,24400000,289700000,30200000,600000,-88100000,203400000,949700000,34100000,709100000,233200000,151100000,219900000,93600000,453600000.0,600000,0,-28000000,-42800000,-84600000,21200000,81600000,-6700000,-2800000,-200000,105900000,26200000,-59000000,-8500000,20000000,-23800000,-46200000,14900000.0,FSKRS.HE
2017-12-31,18800000,,217900000,2800000,166400000,400100000,512500000,94800000,94800000,-1200000,-5000000,,,,50800000,1185500000,1090700000,673000000,123100000,,167100000,166400000,279500000,565700000,1269400000,2800000,95000000,1837900000,77500000,100000.0,1197100000,100600000,221900000,-5200000,33100000,31100000,313700000,29200000,30000000,-2000000,196700000,1076300000,30400000,768000000,247100000,151000000,205200000,89200000,,-1900000,0,-12400000,6300000,-78000000,-2000000,166400000,13300000,-100000,-100000,103800000,27400000,-86600000,8500000,2400000,-107900000,-32800000,12800000.0,FSKRS.HE
