date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,longTermInvestments,deferredLongTermLiab,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,changeToAccountReceivables,issuanceOfStock,company
2020-12-31,,,8615000,23000,6895000,1187000,21514000,9570000,9570000,7178000,-128000,,,,1712000,78691000,69121000,57177000,-955000,,6903000,6895000,10506000.0,42281000,36059000,23000.0,8994000,78363000,80000,2441000.0,15476000,2737000.0,23311000,20503000,785000,21394000,27549000,14000.0,2000000,20503000,7296000,36465000,2242000,544000.0,12086000,7500000,2859000,,,139000,0,-7095000,1446000,-1823000,-1203000,6895000,36000,-468000,8955000,3579000,-2801000,-316000,-75000,,,,GOFORE.HE
2019-12-31,,,6526000,23000,5096000,1305000,18479000,7035000,7035000,7536000,-123000,,,,1430000,64205000,57170000,45726000,-509000,,5096000,5096000,3812000.0,25092000,32432000,,1895000,57524000,80000,1343000.0,12008000,935000.0,16180000,20344000,34000,21358000,16380000,35000.0,1887000,20344000,5894000,31553000,12440000,631000.0,8221000,4472000,4646000,51000.0,,139000,0,-4301000,468000,-2028000,4155000,5096000,5934000,-468000,12263000,2603000,-2496000,409000,-192000,-1000.0,,,GOFORE.HE
2018-12-31,,,6084028,23000,4731906,1978665,15113362,6094990,6094990,6170595,-59018,,,,1352122,50581430,44486440,35468068,-10962,,4731906,4731906,7700.0,12518159,22005918,,2405927,34524081,80000,,9055408,515553.0,8626327,12870510,99156,13417426,9388321,,1068571,12870510,451549,25288849,13371891,2006637.0,9864786,2614285,2112461,50500.0,99156.0,500000,0,-2024553,-1105365,-3047685,1351599,4731906,2767363,-468000,7839599,817028,-1942320,-173181,-205409,-1000.0,1060170.0,,GOFORE.HE
2017-12-31,,,4186698,23000,3318691,1396836,10931230,5359022,5359022,3717488,-50211,,,,868007,33950446,28591424,23019216,-1172324,,3318691,3318691,,11476720,17810328,,2036641,29287050,80000,,6274700,,5362409,11455628,131333,12656699,7793863,,1105365,11455628,389130,22853678,12447919,,10196979,3682857,1589210,550500.0,131333.0,-50000,0,-5153230,4479907,13584344,1318486,3318691,9051650,-468000,620535,444144,-1051598,245322,-418516,-1000.0,-4719840.0,10156035.0,GOFORE.HE
