date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromFinancingActivities,company
2020-12-31,21000000,,130500000,11700000,93100000,209500000,413800000,151600000,151600000,31700000,-37600000,,,,36000000,2683300000,2531700000,2269500000,-21100000,,94500000,89900000,452300000,1938800000,1172900000,11700000,73100000,3123400000,85000000,4500000,95200000,262100000,608900000,992700000,27500000,308700000,894800000,6100000,249300000,1003100000,1081700000,951400000,1600000,111700000,254500000,744100000,366000000,412300000,-400000,20900000,-75400000,19600000,-29700000,-6100000,93100000,142600000,-4000000,-7400000,255100000,169100000,100000,-45300000,1000000,-4700000,-18200000,-117500000,,,AM1.HE
2019-12-31,15300000,,51700000,10800000,31700000,219500000,371200000,96200000,96200000,40200000,-48600000,,,,18800000,2915300000,2819100000,2544100000,-44500000,,32900000,31500000,499100000,1969200000,1221200000,10800000,55400000,3201200000,85000000,1800000,63400000,270400000,642700000,1072800000,29100000,166100000,755600000,9900000,94800000,1079100000,1188500000,840400000,1400000,79400000,264300000,899000000,387600000,459400000,-800000,5800000,-170400000,-135600000,-102400000,-2300000,31700000,15100000,-4000000,1200000,286700000,173800000,100000,-60100000,40400000,47300000,-10000000,-161100000,99300000.0,-6000000.0,AM1.HE
2018-12-31,15300000,,63400000,9900000,41600000,464800000,1188200000,105600000,105600000,491600000,-25400000,,,,20400000,2438100000,2332500000,1249900000,-42200000,,43000000,41600000,505100000,2072700000,1152300000,9900000,48200000,3234900000,85000000,1500000,103500000,270800000,630600000,963800000,23000000,151000000,778400000,7500000,89000000,970100000,1117200000,957900000,1100000,16600000,346400000,1020400000,429600000,468500000,-700000,5200000,-768300000,487600000,585800000,2500000,41600000,-94900000,-4000000,-4000000,91600000,126200000,-100000,-50000000,-43100000,-46600000,5800000,-160100000,148500000.0,-300000.0,AM1.HE
2017-12-31,15300000,,77300000,8900000,65900000,374200000,974600000,101300000,101300000,392500000,-16400000,,,,10800000,1959900000,1858600000,985300000,-24000000,,66500000,65900000,309200000,1358800000,1029100000,8900000,39600000,2396800000,85000000,2900000,111700000,221900000,429400000,832400000,22700000,245900000,594600000,15100000,76700000,838700000,841700000,792600000,1200000,290500000,245200000,539300000,282300000,371500000,1000000,23200000,-79700000,-2600000,-63600000,2500000,65900000,99900000,-5600000,-9900000,186500000,106600000,100000,-50000000,-1500000,3500000,-11200000,-84600000,148500000.0,-10500000.0,AM1.HE
