date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,intangibleAssets,otherCurrentLiab,otherAssets,deferredLongTermAssetCharges,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,company
2020-12-31,,,-46400000,,-46700000,38500000,163500000,-9700000,-9700000,51700000,-43600000,,,,300000,377100000,386800000,213600000,-36700000,,-46700000,-46700000,190700000,445800000,212200000,658000000,246900000,10100000.0,-216800000,41000000.0,-8600000,35400000,129100000,15000000.0,-8600000,570400000,76900000,10700000.0,212200000,27500000,245300000,3900000.0,91200000,,,,,0,-31700000,-15800000,36600000,-31400000,61700000,-46700000,5800000,-1200000,2000000,83000000,300000,1900000,-4700000,-9300000,-100000,-32000000,,SOSI1.HE
2019-12-31,,,-101100000,,-101100000,69300000,77200000,-53300000,-53300000,45284000,-30000000,,,,0,198000000,251300000,120800000,-47800000,,-101100000,-101100000,200000000,489700000,218600000,708300000,185200000,10495000.0,-170100000,29600000.0,3500000,29600000,185900000,40900000.0,3500000,627200000,60700000,20020000.0,218500000,24500000,222700000,5900000.0,97300000,100000.0,7300000.0,20300000.0,300000.0,0,-152700000,15700000,29100000,58700000,15100000,-101100000,-93100000,400000,30200000,61200000,-479000,-5900000,1600000,-1700000,15700000,-147100000,-5600000.0,SOSI1.HE
2018-12-31,,,-63000000,,-63000000,32100000,100000,-53900000,-53900000,132000,-18500000,,,,0,100000,54000000,0,-9100000,,-63000000,-63000000,192700000,294200000,303100000,597300000,179400000,,-69100000,,100000,122700000,64900000,1400000.0,100000,405900000,149500000,,275900000,26500000,229300000,,46600000,27200000.0,3000000.0,14700000.0,300000.0,0,-297000000,220900000,257800000,56600000,39700000,-63000000,-41500000,2600000,-4800000,21900000,-479000,-5900000,-17100000,-2800000,-3200000,-284500000,-14000000.0,SOSI1.HE
2017-12-31,,,-15234000,,-15234000,21257000,78000,-21380000,-21380000,64000,-67000,,,,0,78000,21458000,0,6146000,,-15234000,-15234000,171257000,12582000,328519000,341101000,163680000,,-6052000,959000.0,-366000,164171000,6560000,,-366000,117933000,173462000,,279563000,9058000,5063000,,3705000,48956000.0,1350000.0,750000.0,341000.0,0,-23767000,-843000,54365000,1654000,58386000,-15234000,7694000,2236000,-25140000,137000,-479000,-5900000,-7885000,-3178000,-3812000,-27054000,-14000000.0,SOSI1.HE
