date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,shortLongTermDebt,otherCurrentAssets,otherLiab,inventory,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,company
2020-12-31,,,5788020,682286,4367024,,15325626,5947921,5947921,7166115,-22410,,,,950240,52363368,46415447,37037742,-159901,,4837780,4367024,281700,9589560,24686214,682286,307612,2801548,34958062,295000,11058950,11518775,13332264,557877,10193978,9107666,13332264,388782,22210678,250.0,12885739,11703434,481894.0,714064,,,,,1017463,99115,-613480,-2046886,511523,4367024,5959031,-147649,8054451,1792548,-1346988,-549611,-597941,1007988,-217478,,VINCIT.HE
2019-12-31,,,1720118,701148,1007542,,12310787,1938941,1938941,7986256,-31751,,,,335587,48211944,46273003,35901157,-218823,,1384531,1007542,323790,9148613,21345988,701148,615224,2330266,31195751,295000,8230248,13158418,12820740,865489,4234947,9148613,12820740,450596,16397208,250.0,7863780,11868973,,808347,1100269.0,,,,679264,-2894267,-1104009,-4819267,511523,1007542,-3890910,12357,3810266,1743286,-1797253,-237557,135998,-24567,-357310,,VINCIT.HE
2018-12-31,,,7751812,562819,6346530,,12838983,4103647,4103647,6966107,-37785,,,,1033368,43462550,39358903,30623567,3648165,,6718444,6346530,332638,9370397,21058105,562819,1319399,2904473,30991322,295000,10802954,9403075,9960151,1319399,8125857,8270397,9960151,394763,19541447,,11322392,11163585,1100000.0,806391,1104279.0,,,,1662565,1679092,-1098349,-2739421,511523,6346530,5678788,63328,6675785,1171380,-1641072,161497,135998,-3264033,-797408,,VINCIT.HE
2017-12-31,,,4121887,345165,2652953,,13419609,4821019,4821019,6380195,-35396,,,,1226233,41143343,36322324,27723734,-699132,,2895654,2652953,2120799,15764293,14214331,345165,1251363,3728067,30323794,295000,5879180,11444745,8040151,1251363,2447068,10029293,8040151,722025,14784862,,648787,11937261,2200000.0,1702072,1102627.0,247513.0,3535000.0,153020.0,0,-3989831,1104373,-399851,511523,2652953,1877433,63328,6267111,813520,-1504224,161497,135998,931075,-828055,-575909.0,VINCIT.HE
