date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,company
2020-12-31,,,-6847000,7000,-8196000,66544000,86961000,-3463000,-3463000,16254000,-3192000,,,,1348000,544651000,548114000,457690000,-3384000,,-8195000,-8196000,4547000,260163000,123629000,7000,76169000,383799000,100000,10699000,35076000,12973000,4624000,88453000,30040000,104741000,205705000,15401000,57218000,88453000,23383000,320434000,771000,114458000,68992000,9976000,135639000,36052000,7000,-26475000,-1725000,-44867000,-26035000,20321000,-8196000,45831000,-504000,17000,73574000,6495000,1000,-7000,103962000,-6354000,-978000,4142000,-544000,LEHTO.HE
2019-12-31,,,-45546000,6000,-35750000,86412000,71418000,-43030000,-43030000,19833000,-2640000,,,,-9797000,667747000,710777000,596329000,-2516000,,-35749000,-35750000,4697000,339636000,112120000,6000,84415000,451762000,100000,923000,43184000,10058000,4624000,68836000,18387000,58911000,278992000,16473000,103592000,68836000,27307000,395972000,775000,102799000,85384000,5928000,250318000,29755000,1061000,-53578000,-6563000,37816000,23541000,20321000,-35750000,5843000,-504000,-37000,-11098000,6434000,1000,-13995000,27893000,48912000,-280000,-5009000,-4051000,LEHTO.HE
2018-12-31,,,36213000,264000,28708000,447274000,504803000,34650000,34650000,19387000,-554000,,,,7504000,729480000,694830000,224677000,1563000,,28709000,28708000,2242000,305935000,162093000,264000,98452000,468292000,100000,1062000,93010000,16681000,4624000,68983000,6115000,53070000,269153000,6093000,46884000,68983000,23677000,430561000,1073000,155227000,137905000,20101000,237634000,40343000,292000,78657000,-13689000,37306000,17464000,20321000,28708000,-14626000,-504000,-89000,-18312000,3492000,166000,-19797000,-105339000,-26161000,-45000,2331000,-14579000,LEHTO.HE
2017-12-31,,,64180000,271000,51631000,317192000,398234000,63200000,63200000,14681000,-336000,,,,12587000,598354000,535154000,200120000,980000,,51593000,51631000,2132000,186443000,150447000,271000,76401000,337161000,100000,1046000,81270000,7011000,4624000,69077000,5903000,44739000,168323000,4898000,18571000,69077000,11378000,312105000,1019000,143691000,110177000,11109000,131765000,38910000,292000,30617000,-259000,16803000,3354000,20321000,51631000,318000,-504000,-1000,-2777000,3161000,1000,-12815000,-41994000,-44073000,-634000,-2119000,-4082000,LEHTO.HE
