date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,changeToOperatingActivities,company
2020-12-31,,,54886000,,43077000,106816000,281876000,62781000,62781000,89332000,-2133000,,,,11809000,582973000,520192000,301097000,-7895000,,43077000,43077000,13460000,260252000,181358000,11947000,441610000,35000000,1209000,159747000,35422000,69096000,-13389000,19190000,91979000,154694000,10690000,1000,-13359000,74182000,264642000,1040000,98802000,91042000,59861000,80412000,48653000,169000,19419000,-5667000,-23485000,-45742000,43077000,44971000,-208000,-1270000,97650000,22947000,361000,-22049000,-6628000,236000,18599000,-7099000,,TIK1V.HE
2019-12-31,,,44185000,,33241000,101634000,263977000,44069000,44069000,94178000,-1993000,,,,10944000,564808000,520739000,300831000,116000,,33241000,33241000,17336000,265137000,171924000,12646000,437061000,35000000,1449000,137437000,34000000,70188000,-513000,22048000,47008000,156002000,10266000,12000,-471000,87768000,238705000,1016000,84400000,104770000,59825000,85478000,43008000,3000,3261000,-8646000,-25217000,-39772000,33241000,11522000,-208000,-1448000,61387000,24096000,360000,-14555000,-7973000,2222000,6540000,-9336000,,TIK1V.HE
2018-12-31,,,21047000,,14584000,108898000,247359000,31100000,31100000,90089000,-1354000,,,,6463000,562428000,531328000,315069000,-10053000,,14584000,14584000,20821000,249853000,150132000,8048000,399985000,35000000,1559000,121100000,30726000,69825000,-5968000,20548000,35486000,169129000,8112000,20009000,-5926000,67493000,220161000,1137000,59486000,104274000,49932000,78842000,46342000,77000,-5000,-11333000,14001000,-21284000,14584000,18614000,-208000,2341000,47600000,17272000,379000,-35285000,6552000,-5087000,14284000,-12023000,1500000.0,TIK1V.HE
2017-12-31,,,16621000,,10651000,121175000,279629000,22939000,22939000,116321000,-1017000,,,,5970000,583370000,560431000,303741000,-6318000,,10651000,10651000,24701000,248215000,179520000,7561000,427735000,35000000,9314000,143857000,32754000,71956000,663000,20365000,16959000,165378000,8183000,1882000,705000,78307000,231160000,1246000,82863000,108903000,49900000,95984000,51492000,75000,17823000,-13680000,29667000,-5618000,10651000,-1659000,-208000,827000,18102000,19194000,409000,-35285000,-25285000,-6445000,2164000,-12659000,1500000.0,TIK1V.HE
