date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,investments,otherCashflowsFromInvestingActivities,company
2020-12-31,,,18172000,,14622000,8043000,52854000,19584000,19584000,20217000,-1342000,,,,3550000,553636000,534052000,500782000,-1412000,,14622000,14622000,487000,133138000,40549000,13273000,173687000,100000,16839000,766000,23610000,5399000,43099000,114327000,1349000,25816000,19494000,148041000,266000,40062000,29558000,75384000,70171000,0,-1356000,-3821000,-14923000,8267000,14622000,604000,-1505000,16884000,4689000,-9597000,-8682000,-4371000,2038000,-769000,,,VERK.HE
2019-12-31,,,9763000,,7810000,8457000,41279000,11290000,11290000,16492000,-1503000,,,,1953000,504113000,492823000,462834000,-1527000,,7810000,7810000,586000,123620000,36563000,6481000,160183000,100000,11457000,667000,25006000,3518000,42495000,103277000,1195000,25707000,21151000,134662000,266000,35977000,25465000,66702000,73068000,0,-1145000,-3690000,-12796000,-3985000,7810000,-4251000,-198000,9690000,4512000,-8908000,-918000,1653000,90000,-1016000,57000.0,,VERK.HE
2018-12-31,,,11662000,,9334000,6668000,41720000,13323000,13323000,16639000,-1646000,,,,2328000,477833000,464510000,436113000,-1661000,,9334000,9334000,954000,130176000,37565000,6805000,167741000,100000,12416000,578000,25049000,3208000,46746000,106845000,1112000,25551000,23734000,139570000,275000,36611000,27040000,65784000,80695000,0,-1356000,-3939000,-12636000,20770000,9334000,-5131000,-502000,8861000,4594000,-8195000,-18772000,-7384000,-177000,-582000,57000.0,,VERK.HE
2017-12-31,,,11812000,,9449000,5018000,36366000,13517000,13517000,13247000,-1739000,,,,2363000,431870000,418353000,395504000,-1705000,,9449000,9449000,854000,112151000,36797000,4321000,148948000,100000,11222000,647000,25475000,2934000,51878000,85997000,1182000,25475000,26405000,118461000,294000,35943000,19571000,47012000,63149000,0,-1490000,-3175000,-11556999,20742000,9449000,10186000,-502000,23233000,4028000,-7480697,-3710000,-6559000,-1273000,-1360000,246000.0,1000.0,VERK.HE
